223,Картридж HP DJ No. 72DesignjT610/T1100 cyan (C9371A),KM12903,C9371A,2484.0,"Тип - струйный, вид - оригинальный, Цвет - Cyan, совместимость с устройствами бренда - Hewlett Packard, Ресурс печати - н.д.","КАРТРИДЖ HP DJ No. 72  cyan (C9371A)<br><br>Ресурс:  примерно 2000 стр. при 5% заполнении страницы в зависимости от размера страницы <br><br>Расход чернил зависит от того, насколько страница заполнена. Стандартный текст (не жирный, не подчеркнутый, без рисунков) дает приближенно 5%  заполнение. Это стандартная характеристика заполнения тонером поверхности бумаги, и нормы расхода тонера (ресурс картриджа) приводятся именно по ней. Указанные выше ориентировочные  значения приведены для справки и могут существенно отличаться для разных моделей устройств печати.<br><br>Совместимые модели:<br><br>HP Designjet T610, HP Designjet T620, HP Designjet T770, HP Designjet T1100, HP Designjet T1200, HP Designjet T1200 HD",0,"Периферия, оргтехника > Расходные материалы > Картриджи",HP,http://opt.brain.com.ua/static/images/prod_img/0/3/KM12903_big.jpg,,,,,Производитель,HP,Модель,DJ No. 72DesignjT610/T1100  cyan,Артикул,C9371A,Тип,струйный,Вид,оригинальный,Цвет,Cyan,Совместимость с устройствами бренда,Hewlett Packard,Ресурс печати,н.д.,Комплектация,1 картридж,Страна производства,Китай
225,Картридж HP DJ No. 82 Cyan (C4911A),12270,C4911A,1667.38,"Тип - струйный, вид - оригинальный, Цвет - Cyan, совместимость с устройствами бренда - Hewlett Packard, Ресурс печати - н.д.","КАРТРИДЖ HP DJ No. 82  (C4911A) Cyan<br><br>Ресурс:  69мл.<br><br>Расход чернил зависит от того, насколько страница заполнена. Стандартный текст (не жирный, не подчеркнутый, без рисунков) дает приближенно 5%  заполнение. Это стандартная характеристика заполнения тонером поверхности бумаги, и нормы расхода тонера (ресурс картриджа) приводятся именно по ней. Указанные выше ориентировочные  значения приведены для справки и могут существенно отличаться для разных моделей устройств печати.<br><br>Совместимые модели:<br><br>HP Designjet 800/800PS, HP Designjet Copier CC800PS, HP Designjet 815, HP Designjet 820, HP Designjet 500/500 Plus/500PS, HP Designjet 510",0,"Периферия, оргтехника > Расходные материалы > Картриджи",HP,http://opt.brain.com.ua/static/images/prod_img/7/0/12270_big.jpg,http://opt.brain.com.ua/static/images/prod_img/7/0/12270_2big.jpg,,,,Производитель,HP,Модель,DJ No. 82 Cyan,Артикул,C4911A,Тип,струйный,Вид,оригинальный,Цвет,Cyan,Совместимость с устройствами бренда,Hewlett Packard,Совместимость с моделями,HP DJ 500,Совместимость с моделями,HP DJ 800,Ресурс печати,н.д.,Комплектация,1 картридж,Вес в упаковке,150 г,Страна производства,Китай
226,Картридж HP DJ No. 82 Magenta (C4912A),16323,C4912A,1667.38,"Тип - струйный, вид - оригинальный, Цвет - Magenta, совместимость с устройствами бренда - Hewlett Packard, Ресурс печати - н.д.","КАРТРИДЖ HP DJ No. 82  (C4912A) Magenta,<br><br>Ресурс:  69мл.<br><br>Расход чернил зависит от того, насколько страница заполнена. Стандартный текст (не жирный, не подчеркнутый, без рисунков) дает приближенно 5%  заполнение. Это стандартная характеристика заполнения тонером поверхности бумаги, и нормы расхода тонера (ресурс картриджа) приводятся именно по ней. Указанные выше ориентировочные  значения приведены для справки и могут существенно отличаться для разных моделей устройств печати.<br><br>Совместимые модели:<br><br>HP Designjet 800/800PS, HP Designjet Copier CC800PS, HP Designjet 815, HP Designjet 820, HP Designjet 500/500 Plus/500PS, HP Designjet 510",0,"Периферия, оргтехника > Расходные материалы > Картриджи",HP,http://opt.brain.com.ua/static/images/prod_img/2/3/16323_big.jpg,http://opt.brain.com.ua/static/images/prod_img/2/3/16323_2big.jpg,,,,Производитель,HP,Модель,DJ No. 82 Magenta,Артикул,C4912A,Тип,струйный,Вид,оригинальный,Цвет,Magenta,Совместимость с устройствами бренда,Hewlett Packard,Совместимость с моделями,HP DJ 800,Совместимость с моделями,HP DJ 500,Ресурс печати,н.д.,Емкость,69 мл,Комплектация,1 картридж,Размеры упаковки (Ш x Г x В),120 х 40 х 100 мм,Вес в упаковке,150 г,Страна производства,Китай
227,Картридж HP DJ No. 82 black (CH565A),S0002128,CH565A,1600.63,"Тип - струйный, вид - оригинальный, Цвет - Black, совместимость с устройствами бренда - Hewlett Packard, Ресурс печати - н.д.","КАРТРИДЖ HP DJ No. 82  black (CH565A)<br><br>Ресурс:  69мл.<br><br>Расход чернил зависит от того, насколько страница заполнена. Стандартный текст (не жирный, не подчеркнутый, без рисунков) дает приближенно 5%  заполнение. Это стандартная характеристика заполнения тонером поверхности бумаги, и нормы расхода тонера (ресурс картриджа) приводятся именно по ней. Указанные выше ориентировочные  значения приведены для справки и могут существенно отличаться для разных моделей устройств печати.<br><br>Совместимые модели:<br><br>HP Designjet 510, 510ps, 111",0,"Периферия, оргтехника > Расходные материалы > Картриджи",HP,http://opt.brain.com.ua/static/images/prod_img/2/8/S0002128_big.jpg,http://opt.brain.com.ua/static/images/prod_img/2/8/S0002128_2big.jpg,,,,Производитель,HP,Модель,DJ No. 82 black,Артикул,CH565A,Тип,струйный,Вид,оригинальный,Цвет,Black,Совместимость с устройствами бренда,Hewlett Packard,Совместимость с моделями,HP DJ 111,Совместимость с моделями,HP DJ 510,Ресурс печати,н.д.,Емкость,69 мл,Комплектация,1 картридж,Размеры упаковки (Ш x Г x В),120 х 40 х 100 мм,Вес в упаковке,150 г,Страна производства,Китай
